Abbreviation,School,
TEX,Texas,
FLA,Florida,
MIA,Miami,
MICH,Michigan,
ARK,Arkansas,
OKLA,Oklahoma,
CAL,California,
GEOR,Georgia,
VIR,Virginia,
ORE,Oregon,
UNC,North Carolina,
KU,Kansas,
WASH,Washington,
ARI,Arizona,
COL,Colorado,
AUB,Auburn,
NEV,Nevada,
OKST,Oklahoma State,
HOU,Houston,
IND,Indiana,
KY,Kentucky,
RUT,Rutgers,
NEB,Nebraska,
BAY,Baylor,
ARKST,Arkansas State,
MEM,Memphis,
FSU,Florida State,
LSU,Louisiana state,
STAN,Stanford,
WV,West Virginia,
CLEM,Clemson,
IL,Illinois,
PUR,Purdue,
UCF,Central Florida,
BUF,Buffalo,
MIZZ,Missouri,
VT,Virginia Tech,
MINN,Minnesota,
GT,Georgia tech,
ORST,Oregon State,
SC,South Carolina,
WAKE,Wake Forest,
FRES,Fresno State,
KSU,Kansas State,
MARY,Maryland,
PENN,Penn State,
SYR,Syracuse,
TEN,Tennessee,
OSU,Ohio State,
PITT,Pittsburgh,
TTU,Texas Tech,
NM,New Mexico,
TCU,Texas Christian,
WYOM,Wyoming,
MSU,Michigan State,
SMISS,Southern Missouri,
USC,Southern California,
WIS,Wisconsin,
ND,Notre Dame,
NTEX,North Texas,
SJSU,San Jose State,
BC,Boston College,
HAW,Hawaii,
OLE,Ole Miss,
TOL,Toledo,
NCSU,North Carolina State,
WKU,Western Kentucky,
VAN,Vanderbilt,
CIN,Cincinnati,
ASU,Arizona State,
TEM,Temple,
KENT,Kent State,
LOU,Louisville,
WMU,Western Michigan,
SDSU,San Diego State,
EMU,Eastern Michigan,
MIA-O,Miami Ohio,
ID,Idaho,
BALL,Ball State,
FAU,Florida Atlantic,
UCONN,Connecticut,
BYU,Brigham Young,
NMSU,New Mexico State,
WSU,Washington State,
ISU,Iowa State,
TULA,Tulane,
TAMU,Texas A&M,
COLS,Colorado State,
FIU,Florida International,
LTU,Louisiana Tech,
BG,Bowling Green,
CMU,Central Michigan,
NIU,Northern Illinois,
SMU,Southern Methodist,
UNLV,Nevada at Las Vegas,
ECU,Eastern Carolina,
LA-L,Louisiana Lafayette,
LA-M,Louisiana Monroe,
NU,Northwestern,
BST,Boise State,
MTSU,Middle Tennessee,
SFU,Southern Florida,
MAR,Marshall,
UTST,Utah State,
UCLA,California Las Angeles,
